,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-1914,UX2026,ARGA051160-14LE31/HILLIARD,24.19.2,UX2026-381,+,.,1914,1,4/12/2022,102,,,,,,80,
Kin22-SunRilHR-1915,UX2026,ARGA051160-14LE31/HILLIARD,24.19.3,UX2026-319,+,.,1915,3,4/5/2022,95,,,,,,85,
Kin22-SunRilHR-1916,UX2026,ARGA051160-14LE31/HILLIARD,24.19.4,UX2026-352,+,.,1916,2,4/14/2022,104,,,,,,65,
Kin22-SunRilHR-1917,UX2026,ARGA051160-14LE31/HILLIARD,24.20.1,UX2026-321,+,.,1917,3,4/8/2022,98,,,,,,90,
Kin22-SunRilHR-1918,UX2026,ARGA051160-14LE31/HILLIARD,24.20.2,UX2026-235,+,.,1918,2,4/8/2022,98,,,,,,85,
Kin22-SunRilHR-1919,UX2026,ARGA051160-14LE31/HILLIARD,24.20.3,UX2026-384,+,.,1919,2,4/5/2022,95,,,,,,75,
Kin22-SunRilHR-1920,UX2026,ARGA051160-14LE31/HILLIARD,24.20.4,UX2026-243,-,.,1920,3,4/5/2022,95,,,,,,90,
Kin22-SunRilHR-1921,Marker,Marker,25.1.1,Barley,+,.,1921,2,4/17/2022,107,,,,,,,
Kin22-SunRilHR-1922,UX2000,GA05450-EL52/NC08-23383,25.1.2,UX2000-89,+,.,1922,3,4/7/2022,97,,,,,2,90,
Kin22-SunRilHR-1923,UX2000,GA05450-EL52/NC08-23383,25.1.3,UX2000-122,-,.,1923,4,4/1/2022,91,,,,,0,80,
Kin22-SunRilHR-1924,UX2000,GA05450-EL52/NC08-23383,25.1.4,UX2000-180,-,.,1924,1,4/13/2022,103,,,,,1,85,
Kin22-SunRilHR-1925,Parent,Parent,25.2.1,GA001138-8E36,+,K-1.8.4,1925,3,4/7/2022,97,,,,,0,95,
Kin22-SunRilHR-1926,UX2000,GA05450-EL52/NC08-23383,25.2.2,UX2000-59,+,.,1926,2,4/10/2022,100,,,,,1,75,
Kin22-SunRilHR-1927,UX2000,GA05450-EL52/NC08-23383,25.2.3,UX2000-202,*,.,1927,1,4/18/2022,108,rust,,,,0,85,
Kin22-SunRilHR-1928,UX2000,GA05450-EL52/NC08-23383,25.2.4,UX2000-123,+,.,1928,2,4/9/2022,99,,,,,0,75,
Kin22-SunRilHR-1929,UX2000,GA05450-EL52/NC08-23383,25.3.1,UX2000-49,-,.,1929,2,4/4/2022,94,,,,,1,80,
Kin22-SunRilHR-1930,UX2000,GA05450-EL52/NC08-23383,25.3.2,UX2000-84,-,.,1930,1,4/13/2022,103,,,,,1,75,
Kin22-SunRilHR-1931,Parent,Parent,25.3.3,NC8248-1,+,VA-267,1931,3,4/2/2022,92,,,,,0,80,
Kin22-SunRilHR-1932,UX2000,GA05450-EL52/NC08-23383,25.3.4,UX2000-8,+,.,1932,1,5/2/2022,122,,,,,0,80,
Kin22-SunRilHR-1933,UX2000,GA05450-EL52/NC08-23383,25.4.1,UX2000-110,-,.,1933,2,4/7/2022,97,,,,,1,80,
Kin22-SunRilHR-1934,UX2000,GA05450-EL52/NC08-23383,25.4.2,UX2000-102,+,.,1934,2,4/6/2022,96,,,,,1,80,
Kin22-SunRilHR-1935,UX2000,GA05450-EL52/NC08-23383,25.4.3,UX2000-60,+,.,1935,2,4/21/2022,111,,,,,1,70,
Kin22-SunRilHR-1936,UX2000,GA05450-EL52/NC08-23383,25.4.4,UX2000-163,-,.,1936,1,4/13/2022,103,,,,,0,75,
Kin22-SunRilHR-1937,UX2000,GA05450-EL52/NC08-23383,25.5.1,UX2000-165,-,.,1937,1,4/22/2022,112,,,,,0,80,
Kin22-SunRilHR-1938,UX2000,GA05450-EL52/NC08-23383,25.5.2,UX2000-44,+,.,1938,2,4/5/2022,95,,,,,1,75,
Kin22-SunRilHR-1939,UX2000,GA05450-EL52/NC08-23383,25.5.3,UX2000-103,+,.,1939,2,4/19/2022,109,,,,,0,85,
Kin22-SunRilHR-1940,Parent,Parent,25.5.4,GA05450-EL52,+,R-10.1.4,1940,1,4/5/2022,95,,,,,0,80,
Kin22-SunRilHR-1941,UX2000,GA05450-EL52/NC08-23383,25.6.1,UX2000-65,+,.,1941,1,4/13/2022,103,,,,,1,75,
Kin22-SunRilHR-1942,Parent,Parent,25.6.2,GA06493-13LE6,+,R-14.18.2,1942,1,4/13/2022,103,,,,,0,80,
Kin22-SunRilHR-1943,UX2000,GA05450-EL52/NC08-23383,25.6.3,UX2000-93,-,.,1943,2,4/19/2022,109,,,,,1,80,
Kin22-SunRilHR-1944,UX2000,GA05450-EL52/NC08-23383,25.6.4,UX2000-58,+,.,1944,1,4/13/2022,103,,,,,0,75,
Kin22-SunRilHR-1945,UX2000,GA05450-EL52/NC08-23383,25.7.1,UX2000-144,+,.,1945,2,4/7/2022,97,,,,,,75,
Kin22-SunRilHR-1946,UX2000,GA05450-EL52/NC08-23383,25.7.2,UX2000-171,+,.,1946,2,4/2/2022,92,,,,,,65,
Kin22-SunRilHR-1947,UX2000,GA05450-EL52/NC08-23383,25.7.3,UX2000-185,-,.,1947,1,4/15/2022,105,,,,,,90,
Kin22-SunRilHR-1948,UX2000,GA05450-EL52/NC08-23383,25.7.4,UX2000-1,+,.,1948,1,4/22/2022,112,,,,,,80,
Kin22-SunRilHR-1949,UX2000,GA05450-EL52/NC08-23383,25.8.1,UX2000-195,+,.,1949,1,4/23/2022,113,,,,,,85,
Kin22-SunRilHR-1950,UX2000,GA05450-EL52/NC08-23383,25.8.2,UX2000-76,*,.,1950,2,4/12/2022,102,,,,,,80,
Kin22-SunRilHR-1951,Parent,Parent,25.8.3,AGS2000,+,Va-472,1951,3,4/3/2022,93,,,,,,85,
Kin22-SunRilHR-1952,UX2000,GA05450-EL52/NC08-23383,25.8.4,UX2000-20,+,.,1952,1,4/30/2022,120,,,,,,80,
Kin22-SunRilHR-1953,Parent,Parent,25.9.1,LA09264C-P2,+,R-6.10.1,1953,4,3/28/2022,87,,,,,,75,
Kin22-SunRilHR-1954,UX2000,GA05450-EL52/NC08-23383,25.9.2,UX2000-69,+,.,1954,3,4/1/2022,91,,,,,,70,
Kin22-SunRilHR-1955,UX2000,GA05450-EL52/NC08-23383,25.9.3,UX2000-109,-,.,1955,2,5/2/2022,122,,,,,,80,
Kin22-SunRilHR-1956,UX2000,GA05450-EL52/NC08-23383,25.9.4,UX2000-196,-,.,1956,1,5/3/2022,123,,,,,,75,
Kin22-SunRilHR-1957,UX2000,GA05450-EL52/NC08-23383,25.10.1,UX2000-24,-,.,1957,2,4/7/2022,97,,,,,,75,
Kin22-SunRilHR-1958,UX2000,GA05450-EL52/NC08-23383,25.10.2,UX2000-208,+,.,1958,1,4/18/2022,108,,,,,,80,
Kin22-SunRilHR-1959,UX2000,GA05450-EL52/NC08-23383,25.10.3,UX2000-139,-,.,1959,3,4/4/2022,94,,,,,,80,
Kin22-SunRilHR-1960,UX2000,GA05450-EL52/NC08-23383,25.10.4,UX2000-73,-,.,1960,2,4/7/2022,97,,,,,,70,
Kin22-SunRilHR-1961,Parent,Parent,25.11.1,TX12D4896,+,K-2.7.3,1961,3,4/8/2022,98,,,,,,80,
Kin22-SunRilHR-1962,UX2000,GA05450-EL52/NC08-23383,25.11.2,UX2000-133,+,.,1962,2,5/1/2022,121,,,,,,90,
Kin22-SunRilHR-1963,Parent,Parent,25.11.3,NC08-23383,-,R-2.1.2,1963,2,4/11/2022,101,,,,,,75,
Kin22-SunRilHR-1964,UX2000,GA05450-EL52/NC08-23383,25.11.4,UX2000-134,-,.,1964,3,4/4/2022,94,,,,,,80,
Kin22-SunRilHR-1965,UX2000,GA05450-EL52/NC08-23383,25.12.1,UX2000-167,+,.,1965,4,4/3/2022,93,,,,,,75,
Kin22-SunRilHR-1966,UX2000,GA05450-EL52/NC08-23383,25.12.2,UX2000-105,-,.,1966,1,4/13/2022,103,,,,,,70,
Kin22-SunRilHR-1967,UX2000,GA05450-EL52/NC08-23383,25.12.3,UX2000-63,*,.,1967,2,4/5/2022,95,,,,,,80,
Kin22-SunRilHR-1968,UX2000,GA05450-EL52/NC08-23383,25.12.4,UX2000-175,+,.,1968,2,4/4/2022,94,,,,,,75,
Kin22-SunRilHR-1969,UX2000,GA05450-EL52/NC08-23383,25.13.1,UX2000-97,+,.,1969,1,4/14/2022,104,,,,,,90,
Kin22-SunRilHR-1970,UX2000,GA05450-EL52/NC08-23383,25.13.2,UX2000-164,-,.,1970,3,4/2/2022,92,,,,,,75,
Kin22-SunRilHR-1971,UX2000,GA05450-EL52/NC08-23383,25.13.3,UX2000-168,+,.,1971,1,4/13/2022,103,,,,,,80,
Kin22-SunRilHR-1972,Parent,Parent,25.13.4,GA00190-7A14,+,R-17.20.1,1972,1,4/19/2022,109,,,,,,80,
Kin22-SunRilHR-1973,Parent,Parent,25.14.1,MPV57,-,R-12.10.1,1973,1,4/15/2022,105,,,,,,75,
Kin22-SunRilHR-1974,UX2000,GA05450-EL52/NC08-23383,25.14.2,UX2000-80,+,.,1974,3,4/1/2022,91,,,,,,60,
Kin22-SunRilHR-1975,UX2000,GA05450-EL52/NC08-23383,25.14.3,UX2000-191,-,.,1975,1,5/7/2022,127,,,,,,75,
Kin22-SunRilHR-1976,UX2000,GA05450-EL52/NC08-23383,25.14.4,UX2000-174,-,.,1976,2,4/2/2022,92,,,,,,65,
Kin22-SunRilHR-1977,UX2000,GA05450-EL52/NC08-23383,25.15.1,UX2000-151,*,.,1977,3,4/3/2022,93,,,,,,75,
Kin22-SunRilHR-1978,UX2000,GA05450-EL52/NC08-23383,25.15.2,UX2000-162,-,.,1978,1,5/3/2022,123,,,,,,75,
Kin22-SunRilHR-1979,UX2000,GA05450-EL52/NC08-23383,25.15.3,UX2000-94,+,.,1979,1,4/12/2022,102,,,,,,60,
Kin22-SunRilHR-1980,UX2000,GA05450-EL52/NC08-23383,25.15.4,UX2000-47,+,.,1980,1,4/18/2022,108,,,,,,65,
Kin22-SunRilHR-1981,UX2000,GA05450-EL52/NC08-23383,25.16.1,UX2000-182,+,.,1981,1,4/15/2022,105,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-1981_picture_1_2022-03-28-11-36-24.jpg,,,,80,
Kin22-SunRilHR-1982,UX2000,GA05450-EL52/NC08-23383,25.16.2,UX2000-67,-,.,1982,1,4/9/2022,99,,,,,,75,
Kin22-SunRilHR-1983,Parent,Parent,25.16.3,ARGA051160-14LE31,-,VA-510,1983,2,4/10/2022,100,,,,,,85,
Kin22-SunRilHR-1984,UX2000,GA05450-EL52/NC08-23383,25.16.4,UX2000-143,-,.,1984,3,4/1/2022,91,,,,,,70,
Kin22-SunRilHR-1985,UX2000,GA05450-EL52/NC08-23383,25.17.1,UX2000-194,*,.,1985,2,4/13/2022,103,,,,,,80,
Kin22-SunRilHR-1986,UX2000,GA05450-EL52/NC08-23383,25.17.2,UX2000-119,-,.,1986,2,5/3/2022,123,,,,,,65,
Kin22-SunRilHR-1987,UX2000,GA05450-EL52/NC08-23383,25.17.3,UX2000-81,+,.,1987,3,4/4/2022,94,,,,,,70,
Kin22-SunRilHR-1988,UX2000,GA05450-EL52/NC08-23383,25.17.4,UX2000-160,-,.,1988,2,4/13/2022,103,,,,,,75,
Kin22-SunRilHR-1989,UX2000,GA05450-EL52/NC08-23383,25.18.1,UX2000-43,-,.,1989,1,5/4/2022,124,,,,,,85,
Kin22-SunRilHR-1990,UX2000,GA05450-EL52/NC08-23383,25.18.2,UX2000-181,+,.,1990,3,4/4/2022,94,,,,,,75,
Kin22-SunRilHR-1991,UX2000,GA05450-EL52/NC08-23383,25.18.3,UX2000-145,-,.,1991,2,4/22/2022,112,,,,,,80,
Kin22-SunRilHR-1992,UX2000,GA05450-EL52/NC08-23383,25.18.4,UX2000-78,+,.,1992,3,4/4/2022,94,,,,,,65,
Kin22-SunRilHR-1993,UX2000,GA05450-EL52/NC08-23383,25.19.1,UX2000-28,+,.,1993,4,4/1/2022,91,,,,,,70,
Kin22-SunRilHR-1994,Parent,Parent,25.19.2,SS8641,-,R-6.11.3,1994,2,4/9/2022,99,,,,,,85,
Kin22-SunRilHR-1995,UX2000,GA05450-EL52/NC08-23383,25.19.3,UX2000-32,-,.,1995,3,4/5/2022,95,,,,,,70,
Kin22-SunRilHR-1996,UX2000,GA05450-EL52/NC08-23383,25.19.4,UX2000-207,-,.,1996,1,4/23/2022,113,,,,,,85,
Kin22-SunRilHR-1997,UX2000,GA05450-EL52/NC08-23383,25.20.1,UX2000-140,-,.,1997,1,4/12/2022,102,,,,,,80,
Kin22-SunRilHR-1998,UX2000,GA05450-EL52/NC08-23383,25.20.2,UX2000-161,-,.,1998,2,4/5/2022,95,,,,,,75,
Kin22-SunRilHR-1999,Parent,Parent,25.20.3,Hilliard,+,VA-307,1999,1,4/12/2022,102,,,,,,80,
Kin22-SunRilHR-2000,UX2000,GA05450-EL52/NC08-23383,25.20.4,UX2000-118,-,.,2000,2,4/5/2022,95,,,,,,75,
Kin22-SunRilHR-2001,Marker,Marker,26.1.1,Barley,+,.,2001,1,4/19/2022,109,,,,,,,
Kin22-SunRilHR-2002,UX1993,GA001138-8E36/HILLIARD,26.1.2,UX1993-142,+,.,2002,1,4/6/2022,96,,,R0,,0,90,
Kin22-SunRilHR-2003,UX1993,GA001138-8E36/HILLIARD,26.1.3,UX1993-94,+,.,2003,3,4/5/2022,95,,,R,,0,90,
Kin22-SunRilHR-2004,UX1993,GA001138-8E36/HILLIARD,26.1.4,UX1993-127,+,.,2004,3,5/3/2022,123,,,R,,0,85,
Kin22-SunRilHR-2005,UX1993,GA001138-8E36/HILLIARD,26.2.1,UX1993-99,+,.,2005,2,5/1/2022,121,,,R10,,0,90,
Kin22-SunRilHR-2006,UX1993,GA001138-8E36/HILLIARD,26.2.2,UX1993-76,+,.,2006,4,4/1/2022,91,,,S50,,0,85,
Kin22-SunRilHR-2007,UX1993,GA001138-8E36/HILLIARD,26.2.3,UX1993-106,+,.,2007,3,3/31/2022,90,,,S30,,1,85,
Kin22-SunRilHR-2008,UX1993,GA001138-8E36/HILLIARD,26.2.4,UX1993-140,+,.,2008,2,4/8/2022,98,,,R,,0,75,
Kin22-SunRilHR-2009,UX1993,GA001138-8E36/HILLIARD,26.3.1,UX1993-115,+,.,2009,4,4/1/2022,91,,,R10,,0,80,
Kin22-SunRilHR-2010,UX1993,GA001138-8E36/HILLIARD,26.3.2,UX1993-72,+,.,2010,1,5/3/2022,123,,,R,,1,80,
Kin22-SunRilHR-2011,UX1993,GA001138-8E36/HILLIARD,26.3.3,UX1993-79,+,.,2011,3,4/3/2022,93,,,M30,,0,85,
Kin22-SunRilHR-2012,UX1993,GA001138-8E36/HILLIARD,26.3.4,UX1993-112,+,.,2012,3,3/28/2022,87,,,S40,,0,65,
Kin22-SunRilHR-2013,UX1993,GA001138-8E36/HILLIARD,26.4.1,UX1993-118,+,.,2013,3,4/5/2022,95,,,R,,0,90,
Kin22-SunRilHR-2014,Parent,Parent,26.4.2,GA05450-EL52,+,R-10.1.4,2014,3,4/4/2022,94,,,R10,,0,85,
Kin22-SunRilHR-2015,Parent,Parent,26.4.3,GA06493-13LE6,+,R-14.18.2,2015,2,4/14/2022,104,,,R,,0,80,
Kin22-SunRilHR-2016,UX1993,GA001138-8E36/HILLIARD,26.4.4,UX1993-104,+,.,2016,2,5/2/2022,122,,,R10,,0,100,
Kin22-SunRilHR-2017,Parent,Parent,26.5.1,GA00190-7A14,+,R-17.20.1,2017,2,4/9/2022,99,,,R20,,0,90,
Kin22-SunRilHR-2018,UX1993,GA001138-8E36/HILLIARD,26.5.2,UX1993-93,+,.,2018,3,4/4/2022,94,,,R10,,0,100,
Kin22-SunRilHR-2019,UX1993,GA001138-8E36/HILLIARD,26.5.3,UX1993-98,+,.,2019,2,5/4/2022,124,,,R20,,0,95,
Kin22-SunRilHR-2020,UX1993,GA001138-8E36/HILLIARD,26.5.4,UX1993-139,+,.,2020,3,3/31/2022,90,,,R,,1,80,
Kin22-SunRilHR-2021,UX1993,GA001138-8E36/HILLIARD,26.6.1,UX1993-90,+,.,2021,4,3/28/2022,87,,,R,,,90,
Kin22-SunRilHR-2022,UX1993,GA001138-8E36/HILLIARD,26.6.2,UX1993-68,+,.,2022,4,4/1/2022,91,,,R,,,90,
Kin22-SunRilHR-2023,Parent,Parent,26.6.3,ARGA051160-14LE31,-,VA-510,2023,1,4/12/2022,102,,,R,,,90,
Kin22-SunRilHR-2024,UX1993,GA001138-8E36/HILLIARD,26.6.4,UX1993-159,+,.,2024,1,4/15/2022,105,,,R,,,110,
Kin22-SunRilHR-2025,UX1993,GA001138-8E36/HILLIARD,26.7.1,UX1993-97,+,.,2025,2,4/6/2022,96,,,R20,,,90,
Kin22-SunRilHR-2026,UX1993,GA001138-8E36/HILLIARD,26.7.2,UX1993-71,+,.,2026,2,4/19/2022,109,,,R,,,95,
Kin22-SunRilHR-2027,UX1993,GA001138-8E36/HILLIARD,26.7.3,UX1993-105,+,.,2027,4,3/31/2022,90,,,M30,,,90,
Kin22-SunRilHR-2028,UX1993,GA001138-8E36/HILLIARD,26.7.4,UX1993-63,+,.,2028,3,4/3/2022,93,,,S40,,,90,
Kin22-SunRilHR-2029,UX1993,GA001138-8E36/HILLIARD,26.8.1,UX1993-131,+,.,2029,3,4/6/2022,96,,,R30,,,95,
Kin22-SunRilHR-2030,Parent,Parent,26.8.2,TX12D4896,+,K-2.7.3,2030,3,4/7/2022,97,,,R,,,85,
Kin22-SunRilHR-2031,Parent,Parent,26.8.3,MPV57,-,R-12.10.1,2031,1,4/18/2022,108,,,R10,,,75,
Kin22-SunRilHR-2032,UX1993,GA001138-8E36/HILLIARD,26.8.4,UX1993-119,+,.,2032,3,3/30/2022,89,,,R10,,,80,
Kin22-SunRilHR-2033,UX1993,GA001138-8E36/HILLIARD,26.9.1,UX1993-103,+,.,2033,2,4/9/2022,99,,,S50,,,90,
Kin22-SunRilHR-2034,UX1993,GA001138-8E36/HILLIARD,26.9.2,UX1993-114,+,.,2034,4,3/27/2022,86,,,R10,,,85,
Kin22-SunRilHR-2035,UX1993,GA001138-8E36/HILLIARD,26.9.3,UX1993-62,+,.,2035,1,4/17/2022,107,,,R,,,65,
Kin22-SunRilHR-2036,UX1993,GA001138-8E36/HILLIARD,26.9.4,UX1993-69,+,.,2036,3,4/2/2022,92,,,R10,,,85,
Kin22-SunRilHR-2037,Parent,Parent,26.10.1,NC8248-1,+,VA-267,2037,3,3/31/2022,90,,,S50,,,85,
Kin22-SunRilHR-2038,UX1993,GA001138-8E36/HILLIARD,26.10.2,UX1993-78,+,.,2038,3,3/28/2022,87,,,R,,,95,
Kin22-SunRilHR-2039,UX1993,GA001138-8E36/HILLIARD,26.10.3,UX1993-75,+,.,2039,1,4/30/2022,120,,,R,,,95,
Kin22-SunRilHR-2040,UX1993,GA001138-8E36/HILLIARD,26.10.4,UX1993-137,+,.,2040,1,4/21/2022,111,,,R,,,95,
Kin22-SunRilHR-2041,UX1993,GA001138-8E36/HILLIARD,26.11.1,UX1993-180,+,.,2041,1,4/21/2022,111,,,R20,,,95,
Kin22-SunRilHR-2042,UX1993,GA001138-8E36/HILLIARD,26.11.2,UX1993-95,+,.,2042,3,4/3/2022,93,,,R,,,100,
Kin22-SunRilHR-2043,UX1993,GA001138-8E36/HILLIARD,26.11.3,UX1993-66,+,.,2043,2,4/1/2022,91,,,M20,,,85,
Kin22-SunRilHR-2044,Parent,Parent,26.11.4,Hilliard,+,VA-307,2044,1,4/13/2022,103,,,R,,,80,
Kin22-SunRilHR-2045,UX1993,GA001138-8E36/HILLIARD,26.12.1,UX1993-154,+,.,2045,1,4/15/2022,105,,,R,,,95,
Kin22-SunRilHR-2046,Parent,Parent,26.12.2,NC08-23383,-,R-2.1.2,2046,2,4/12/2022,102,,,R,,,85,
Kin22-SunRilHR-2047,UX1993,GA001138-8E36/HILLIARD,26.12.3,UX1993-65,+,.,2047,2,4/3/2022,93,,,R10,,,90,
Kin22-SunRilHR-2048,UX1993,GA001138-8E36/HILLIARD,26.12.4,UX1993-88,+,.,2048,4,3/28/2022,87,,,S60,,,90,
Kin22-SunRilHR-2049,UX1993,GA001138-8E36/HILLIARD,26.13.1,UX1993-74,+,.,2049,3,4/3/2022,93,,,R10,,,90,
Kin22-SunRilHR-2050,UX1993,GA001138-8E36/HILLIARD,26.13.2,UX1993-82,+,.,2050,3,4/4/2022,94,,,R20,,,100,
Kin22-SunRilHR-2051,UX1993,GA001138-8E36/HILLIARD,26.13.3,UX1993-73,+,.,2051,2,4/3/2022,93,,,R,,,85,
Kin22-SunRilHR-2052,UX1993,GA001138-8E36/HILLIARD,26.13.4,UX1993-85,+,.,2052,2,5/2/2022,122,,,R,,,100,
Kin22-SunRilHR-2053,UX1993,GA001138-8E36/HILLIARD,26.14.1,UX1993-150,+,.,2053,1,4/15/2022,105,,,R,,,95,
Kin22-SunRilHR-2054,Parent,Parent,26.14.2,GA001138-8E36,+,K-1.8.4,2054,3,4/9/2022,99,,,R,,,100,
Kin22-SunRilHR-2055,UX1993,GA001138-8E36/HILLIARD,26.14.3,UX1993-100,+,.,2055,3,4/4/2022,94,,,R10,,,80,
Kin22-SunRilHR-2056,UX1993,GA001138-8E36/HILLIARD,26.14.4,UX1993-67,+,.,2056,1,4/14/2022,104,,,R,,,95,
Kin22-SunRilHR-2057,UX1993,GA001138-8E36/HILLIARD,26.15.1,UX1993-101,+,.,2057,3,4/5/2022,95,,,R,,,95,
Kin22-SunRilHR-2058,UX1993,GA001138-8E36/HILLIARD,26.15.2,UX1993-96,+,.,2058,3,3/31/2022,90,,,R20,,,95,
Kin22-SunRilHR-2059,UX1993,GA001138-8E36/HILLIARD,26.15.3,UX1993-77,+,.,2059,1,5/1/2022,121,,,R,,,95,
Kin22-SunRilHR-2060,UX1993,GA001138-8E36/HILLIARD,26.15.4,UX1993-164,+,.,2060,4,4/1/2022,91,,,R,,,85,
Kin22-SunRilHR-2061,UX1993,GA001138-8E36/HILLIARD,26.16.1,UX1993-122,+,.,2061,3,4/5/2022,95,,,R20,,,110,
Kin22-SunRilHR-2062,UX1993,GA001138-8E36/HILLIARD,26.16.2,UX1993-92,+,.,2062,2,4/29/2022,119,,,R,,,105,
Kin22-SunRilHR-2063,UX1993,GA001138-8E36/HILLIARD,26.16.3,UX1993-87,+,.,2063,3,3/31/2022,90,,,R,,,95,
Kin22-SunRilHR-2064,Parent,Parent,26.16.4,AGS2000,+,VA-472,2064,3,4/3/2022,93,,,R,,,95,
Kin22-SunRilHR-2065,UX1993,GA001138-8E36/HILLIARD,26.17.1,UX1993-91,+,.,2065,4,3/25/2022,84,,,S70,,,85,
Kin22-SunRilHR-2066,UX1993,GA001138-8E36/HILLIARD,26.17.2,UX1993-70,+,.,2066,3,3/31/2022,90,,,S50,,,95,
Kin22-SunRilHR-2067,UX1993,GA001138-8E36/HILLIARD,26.17.3,UX1993-102,+,.,2067,2,4/7/2022,97,,,R,,,100,
Kin22-SunRilHR-2068,UX1993,GA001138-8E36/HILLIARD,26.17.4,UX1993-144,+,.,2068,3,4/3/2022,93,,,R10,,,95,
Kin22-SunRilHR-2069,UX1993,GA001138-8E36/HILLIARD,26.18.1,UX1993-113,+,.,2069,4,4/4/2022,94,,,S70,,,90,
Kin22-SunRilHR-2070,Parent,Parent,26.18.2,SS8641,-,R-6.11.3,2070,2,4/11/2022,101,,,R,,,80,
Kin22-SunRilHR-2071,UX1993,GA001138-8E36/HILLIARD,26.18.3,UX1993-83,+,.,2071,3,3/27/2022,86,,,R10,,,80,
Kin22-SunRilHR-2072,UX1993,GA001138-8E36/HILLIARD,26.18.4,UX1993-174,+,.,2072,2,4/15/2022,105,,,R,,,95,
Kin22-SunRilHR-2073,UX1993,GA001138-8E36/HILLIARD,26.19.1,UX1993-135,+,.,2073,4,3/27/2022,86,,,R,,,85,
Kin22-SunRilHR-2074,UX1993,GA001138-8E36/HILLIARD,26.19.2,UX1993-61,+,.,2074,3,4/3/2022,93,,,R,,,85,
Kin22-SunRilHR-2075,UX1993,GA001138-8E36/HILLIARD,26.19.3,UX1993-80,+,.,2075,1,4/13/2022,103,,,R,,,80,
Kin22-SunRilHR-2076,UX1993,GA001138-8E36/HILLIARD,26.19.4,UX1993-133,+,.,2076,1,4/15/2022,105,,,R,,,95,
Kin22-SunRilHR-2077,UX1993,GA001138-8E36/HILLIARD,26.20.1,UX1993-60,+,.,2077,1,4/13/2022,103,,,R,,,85,
Kin22-SunRilHR-2078,UX1993,GA001138-8E36/HILLIARD,26.20.2,UX1993-155,+,.,2078,1,4/19/2022,109,,,R,,,100,
Kin22-SunRilHR-2079,Parent,Parent,26.20.3,LA09264C-P2,+,R-6.10.1,2079,4,3/28/2022,87,,,S70,,,75,
Kin22-SunRilHR-2080,UX1993,GA001138-8E36/HILLIARD,26.20.4,UX1993-86,+,.,2080,4,4/2/2022,92,,,R,,,100,
Kin22-SunRilHR-2081,Marker,Marker,27.1.1,Barley,+,.,2081,1,4/19/2022,109,,,,,,,
Kin22-SunRilHR-2082,UX1995,NC8248-1/NC08-23383,27.1.2,UX1995-105,+,.,2082,2,4/8/2022,98,,,M40,,0,95,
Kin22-SunRilHR-2083,UX1995,NC8248-1/NC08-23383,27.1.3,UX1995-96,+,.,2083,2,4/11/2022,101,,,M40,,0,90,
Kin22-SunRilHR-2084,UX1995,NC8248-1/NC08-23383,27.1.4,UX1995-49,+,.,2084,3,4/5/2022,95,,,M50,,1,95,
Kin22-SunRilHR-2085,UX1995,NC8248-1/NC08-23383,27.2.1,UX1995-121,+,.,2085,1,4/14/2022,104,,,R10,,1,80,
Kin22-SunRilHR-2086,UX1995,NC8248-1/NC08-23383,27.2.2,UX1995-64,+,.,2086,2,4/8/2022,98,,,S60,,0,85,
Kin22-SunRilHR-2087,UX1995,NC8248-1/NC08-23383,27.2.3,UX1995-53,-,.,2087,1,4/13/2022,103,,,R,,0,85,
Kin22-SunRilHR-2088,Parent,Parent,27.2.4,MPV57,-,R-14.18.3,2088,1,4/14/2022,104,,,R20,,0,80,
Kin22-SunRilHR-2089,UX1995,NC8248-1/NC08-23383,27.3.1,UX1995-90,-,.,2089,1,4/11/2022,101,,,R10,,2,90,
Kin22-SunRilHR-2090,Parent,Parent,27.3.2,Hilliard,+,VA-36,2090,1,4/12/2022,102,,,R10,,0,85,
Kin22-SunRilHR-2091,UX1995,NC8248-1/NC08-23383,27.3.3,UX1995-157,-,.,2091,2,4/5/2022,95,,,R10,,1,85,
Kin22-SunRilHR-2092,UX1995,NC8248-1/NC08-23383,27.3.4,UX1995-162,+,.,2092,2,4/5/2022,95,,,R,,0,80,
Kin22-SunRilHR-2093,UX1995,NC8248-1/NC08-23383,27.4.1,UX1995-147,+,.,2093,4,3/25/2022,84,,,S70,,0,80,
Kin22-SunRilHR-2094,UX1995,NC8248-1/NC08-23383,27.4.2,UX1995-26,-,.,2094,1,4/11/2022,101,,,S50,,1,75,
Kin22-SunRilHR-2095,UX1995,NC8248-1/NC08-23383,27.4.3,UX1995-163,-,.,2095,3,3/26/2022,85,,,S60,,1,75,
Kin22-SunRilHR-2096,UX1995,NC8248-1/NC08-23383,27.4.4,UX1995-59,-,.,2096,3,3/31/2022,90,,,R10,,0,75,
Kin22-SunRilHR-2097,UX1995,NC8248-1/NC08-23383,27.5.1,UX1995-9,*,.,2097,3,4/3/2022,93,,,R,,1,85,
Kin22-SunRilHR-2098,UX1995,NC8248-1/NC08-23383,27.5.2,UX1995-27,+,.,2098,3,4/7/2022,97,,,R20,,0,80,
Kin22-SunRilHR-2099,UX1995,NC8248-1/NC08-23383,27.5.3,UX1995-115,+,.,2099,3,3/30/2022,89,,,R10,,0,85,
